,index,x,y,z,name
0,1,198,309,22.0, ABaraapp
1,2,226,339,23.0, ABaraapa
2,3,140,278,20.0, ABarappp
3,4,156,304,22.0, ABarappa
4,5,188,349,23.0, ABarapaa
5,6,170,321,22.0, ABarapap
6,7,166,346,12.0, ABarpaap
7,8,184,370,16.0, ABarpaaa
8,9,187,333,17.0, ABarpapa
9,10,158,310,15.0, ABarpapp
10,11,256,345,19.0, ABalaapa
11,12,225,331,17.0, ABalaapp
12,13,268,356,22.0, ABalaaaa
13,14,249,362,15.0, ABalaaap
14,15,226,354,17.0, ABalappa
15,16,210,337,12.0, ABalappp
16,17,273,317,10.0, ABalppaa
17,18,248,305,12.0, ABalppap
18,19,244,252,17.0, MSapa
19,20,232,266,13.0, ABalpppp
20,21,230,296,15.0, ABalpppa
21,22,263,283,18.0, ABalpapp
22,23,283,315,16.0, ABalpapa
23,24,267,336,12.0, ABalpaap
24,25,283,342,18.0, ABalpaaa
25,26,229,380,17.0, ABalapaa
26,27,206,369,11.0, ABalapap
28,29,206,358,21.0, ABaraaap
29,30,241,362,23.0, ABaraaaa
31,32,125,295,23.0, ABprpaaa
32,33,104,262,19.0, ABprpaap
33,34,109,254,23.0, ABprpapa
34,35,111,214,22.0, ABprpapp
35,36,86,241,21.0, ABprppaa
36,37,86,204,20.0, ABprppap
37,38,124,180,22.0, ABprpppp
38,39,90,184,22.0, ABprpppa
39,40,97,227,16.0, ABprappa
40,41,105,194,16.0, ABprappp
41,42,121,234,11.0, ABarpppp
42,43,125,271,14.0, ABarpppa
43,44,156,324,10.0, ABarppaa
44,45,134,287,10.0, ABarppap
45,46,153,347,18.0, ABpraaaa
46,47,132,323,14.0, ABpraaap
47,48,127,316,20.0, ABpraapa
48,49,106,287,16.0, ABpraapp
49,50,230,221,10.0, ABplpapp
50,51,247,252,9.0, ABplpapa
51,52,263,279,11.0, ABplpaaa
52,53,225,269,8.0, ABplpaap
53,54,197,175,12.0, ABplpppp
54,55,220,197,12.0, ABplpppa
55,56,186,221,8.0, ABplappp
56,57,217,248,8.0, ABplppaa
57,58,209,210,9.0, ABplppap
58,59,184,235,21.0, MSpapp
59,60,185,249,20.0, MSpapa
60,61,190,282,20.0, MSpaa
61,62,152,211,22.0, MSppp
62,63,146,250,22.0, MSppa
63,64,226,275,21.0, MSaap
64,65,240,303,20.0, MSaaap
65,66,253,318,20.0, MSaaaa
66,67,222,221,18.0, MSapp
67,68,201,277,9.0, ABplappa
68,69,170,288,9.0, ABplapap
69,70,190,322,9.0, ABplapaa
70,71,237,330,9.0, ABplaapa
71,72,207,303,11.0, ABplaapp
72,73,239,358,9.0, ABplaaaa
73,74,195,346,8.0, ABplaaap
74,75,149,172,20.0, Dp
75,76,181,171,17.0, Da
76,77,203,216,20.0, Z3
77,78,179,197,22.0, Z2
78,79,99,223,9.0, Cpaa
79,80,89,247,14.0, ABprapap
80,81,102,287,11.0, ABprapaa
81,82,111,180,9.0, Cpap
82,83,155,154,13.0, Cppp
83,84,119,168,15.0, Cppa
84,85,160,175,9.0, Capp
85,86,138,205,9.0, Capa
86,87,153,261,9.0, Caaa
87,88,156,219,8.0, Caap
88,89,146,221,15.0, Epr
89,90,172,203,15.0, Epl
90,91,160,273,15.0, Ear
91,92,197,253,14.0, Eal
