,index,x,y,z,name
0,1,211,353,20.0, ABaraa
1,2,171,313,21.0, ABarap
2,3,156,338,14.0, ABarpa
3,4,260,365,20.0, ABalaa
4,5,223,361,13.0, ABalap
5,6,243,290,10.0, ABalpp
6,7,275,330,15.0, ABalpa
9,10,136,224,21.0, ABprpa
10,11,104,178,21.0, ABprpp
11,12,89,239,20.0, ABprap
12,13,123,289,18.0, ABpraa
13,14,230,249,10.0, ABplpa
14,15,209,212,9.0, ABplpp
15,16,209,278,21.0, MSpa
16,17,168,242,22.0, MSpp
17,18,250,316,22.0, MSaa
18,19,248,258,17.0, MSap
19,20,181,298,9.0, ABplap
20,21,208,328,10.0, ABplaa
21,22,125,161,13.0, D
22,23,166,157,13.0, P4
23,24,106,236,11.0, Cpa
24,25,114,205,12.0, Cpp
25,26,156,237,12.0, Cap
26,27,160,265,13.0, Caa
27,28,159,194,14.0, Ep
28,29,195,226,17.0, Ea
30,31,120,282,12.0, ABarpp
