,index,x,y,z,name
0,1,212,349,20.0, ABaraa
1,2,174,312,20.0, ABarap
2,3,156,333,13.0, ABarpa
3,4,256,364,19.0, ABalaa
5,6,244,292,11.0, ABalpp
6,7,266,334,13.0, ABalpa
7,8,223,365,13.0, ABalap
9,10,137,231,20.0, ABprpa
10,11,106,188,19.0, ABprpp
11,12,93,239,18.0, ABprap
12,13,121,276,11.0, ABarpp
13,14,126,301,19.0, ABpraaa
14,15,133,281,20.0, ABpraap
15,16,232,250,11.0, ABplpa
16,17,210,217,9.0, ABplpp
17,18,212,278,20.0, MSpa
18,19,167,261,21.0, MSpp
19,20,250,314,21.0, MSaa
20,21,250,266,18.0, MSap
21,22,193,271,11.0, ABplapp
22,23,171,309,9.0, ABplapa
23,24,212,315,11.0, ABplaap
24,25,193,351,10.0, ABplaaa
25,26,137,157,16.0, D
26,27,177,161,15.0, P4
27,28,104,238,9.0, Cpa
28,29,110,179,11.0, Cpp
29,30,144,219,9.0, Cap
30,31,157,265,11.0, Caa
31,32,157,195,13.0, Ep
32,33,194,234,17.0, Ea
