,index,x,y,z,name
0,1,214,321,18.0, ABaraapppa
1,2,198,311,17.0, ABaraapppp
2,3,231,354,17.0, ABaraappaa
3,4,222,338,17.0, ABaraappap
4,5,230,299,16.0, ABaraapapp
5,6,246,314,17.0, ABaraapapa
6,7,256,342,17.0, ABaraapaaa
7,8,240,335,17.0, ABaraapaap
8,9,194,345,24.0, ABarapppaa
9,10,175,302,23.0, ABarappaap
10,11,178,331,23.0, ABarapppap
11,12,147,320,23.0, ABarappppp
12,13,153,300,21.0, ABprpapaaa
13,14,159,310,23.0, ABarappapa
14,15,145,293,24.0, ABarappapp
15,16,199,315,22.0, ABarapaapp
16,17,207,336,23.0, ABaraaappp
17,18,218,308,23.0, ABarapaaap
18,19,216,326,21.0, ABarapaapa
19,20,164,279,19.0, MSpapapa
20,21,180,279,21.0, ABarapappp
21,22,187,299,21.0, ABarapappa
22,23,195,294,23.0, ABarapapap
23,24,179,247,8.0, ABarpaappp
24,25,179,277,8.0, ABarpaappa
25,26,182,299,8.0, ABarpaapap
26,27,223,314,10.0, MSaaaapp
27,28,206,316,7.0, ABarpaapaa
28,29,236,362,8.0, ABarpaaaaa
29,30,243,345,8.0, ABarpaaaap
30,31,215,332,7.0, ABarpaaapp
31,32,226,344,8.0, ABarpaaapa
32,33,198,352,8.0, ABarpapaap
33,34,212,352,8.0, ABarpapaaa
34,35,184,323,8.0, ABarpapapp
35,36,201,335,8.0, ABarpapapa
36,37,146,306,8.0, ABarpapppp
37,38,160,318,8.0, ABarpapppa
38,39,178,340,7.0, ABarpappaa
39,40,166,330,8.0, ABarpappap
40,41,208,365,23.0, ABalaapaap
41,42,195,363,23.0, ABalaapapa
42,43,224,372,23.0, ABalaapaaa
43,44,197,377,14.0, ABalaapppp
44,45,211,373,16.0, ABalaapppa
45,46,281,319,20.0, ABalaaaalp
46,47,242,375,19.0, ABalaaaarr
47,48,271,360,19.0, ABalaaaarl
48,49,259,373,16.0, ABalaaapar
49,50,279,347,16.0, ABalaaapal
50,51,279,344,20.0, ABalaaaala
51,52,211,376,20.0, ABalaappap
52,53,225,382,21.0, ABalaappaa
53,54,224,381,17.0, ABalaaappr
54,55,241,378,15.0, ABalaaappl
55,56,260,364,11.0, ABalappaap
56,57,254,376,13.0, ABalappaaa
57,58,215,377,12.0, ABalappapp
58,59,230,382,13.0, ABalappapa
59,60,236,367,11.0, ABalapppaa
60,61,221,360,10.0, ABalapppap
61,62,185,345,9.0, ABalappppp
62,63,207,361,12.0, ABalappppa
63,64,269,297,21.0, ABalppapaa
64,65,275,296,17.0, ABalppaapp
65,66,283,305,18.0, ABalppaapa
66,67,286,337,18.0, ABalppaaaa
67,68,288,325,17.0, ABalppaaap
68,69,251,256,22.0, ABalppappp
69,70,259,273,22.0, ABalppappa
70,71,257,286,23.0, ABalppapap
71,72,257,311,15.0, MSapaaap
72,73,271,320,17.0, MSapaaaa
73,74,245,288,18.0, MSapaap
74,75,250,293,14.0, MSapapaa
75,76,234,276,15.0, MSapapap
76,77,231,287,13.0, MSapappa
77,78,211,272,11.0, MSapappp
78,79,252,272,13.0, ABalpppppa
79,80,245,255,12.0, ABalpppppp
80,81,252,290,11.0, ABalppppap
81,82,266,299,13.0, ABalppppaa
82,83,281,307,13.0, ABalpppaap
83,84,283,312,15.0, ABalpppaaa
84,85,276,293,14.0, ABalpppapa
85,86,267,279,13.0, ABalpppapp
86,87,209,279,21.0, ABalpapppp
88,89,226,283,21.0, ABalpappap
89,90,230,306,19.0, ABalpaaapp
90,91,239,275,23.0, ABalpapapa
91,92,235,259,22.0, ABalpapapp
92,93,275,330,22.0, ABalpaappa
93,94,269,312,21.0, ABalpaappp
94,95,257,328,20.0, ABalpaapap
95,96,257,345,20.0, ABalpaapaa
96,97,240,316,21.0, ABalpaaapa
97,98,250,303,23.0, ABalpapaaa
98,99,245,319,26.0, ABalpaaaaa
99,100,270,357,13.0, ABalapaaaa
100,101,265,343,12.0, ABalapaaap
101,102,279,325,12.0, ABalapaapp
102,103,274,336,14.0, ABalapaapa
103,104,265,315,11.0, ABalapappa
104,105,240,295,9.0, ABalapappp
105,106,257,348,9.0, ABalapapaa
106,107,258,331,10.0, ABalapapap
107,108,242,352,21.0, ABaraaapaa
108,109,229,339,21.0, ABaraaapap
109,110,222,355,23.0, ABaraaappa
110,111,250,362,19.0, ABaraaaapa
111,112,248,350,15.0, ABaraaaapp
112,113,236,362,22.0, ABaraaaaap
113,114,263,355,22.0, ABaraaaaaa
115,116,187,354,22.0, ABalaapapp
116,117,169,345,22.0, ABprpaaaaa
117,118,159,330,20.0, ABprpaaaap
118,119,152,346,21.0, ABprpaaapa
119,120,141,332,21.0, ABprpaaapp
120,121,143,344,18.0, ABprpaapap
121,122,134,329,17.0, ABprpaappa
122,123,121,318,18.0, ABprpaappp
123,124,122,280,22.0, ABprppaapa
124,125,136,260,23.0, ABprpapapp
125,126,142,287,21.0, ABprpapaap
126,127,165,264,22.0, ABprpappap
127,128,165,290,23.0, ABprpappaa
128,129,158,242,21.0, ABprpapppa
129,130,137,317,19.0, ABprppaaaa
130,131,126,312,21.0, ABprppaaap
131,132,111,270,23.0, ABprppaapp
132,133,120,298,21.0, ABprppapaa
133,134,103,283,22.0, ABprppapap
134,135,95,250,21.0, ABprppappp
135,136,101,268,21.0, ABprppappa
136,137,119,239,23.0, ABprppppap
137,138,124,255,22.0, ABprppppaa
138,139,136,218,20.0, ABprpppppa
139,140,107,252,22.0, ABprpppaaa
140,141,99,222,23.0, ABprpppapa
141,142,94,241,23.0, ABprpppaap
142,143,82,241,14.0, ABprappapp
143,144,89,253,11.0, ABprappapa
144,145,90,263,16.0, ABprappaap
145,146,95,280,16.0, ABprappaaa
146,147,107,244,12.0, Cpppaa
147,148,95,206,16.0, Cppppa
148,149,93,202,22.0, ABprappppp
149,150,84,216,20.0, ABprappppa
150,151,90,246,18.0, ABprapppaa
151,152,91,232,20.0, ABprapppap
152,153,101,234,8.0, ABarpppppa
153,154,98,265,10.0, ABarppppap
154,155,113,286,9.0, ABarppppaa
155,156,146,272,7.0, ABarpppapa
156,157,114,254,7.0, ABarpppapp
157,158,130,291,8.0, ABarpppaap
158,159,154,289,7.0, ABarpppaaa
159,160,197,225,8.0, ABarppaaap
160,161,196,247,8.0, ABarppaaaa
161,162,181,199,7.0, ABarppaapp
162,163,179,226,8.0, ABarppaapa
163,164,164,177,9.0, ABarppappa
164,165,180,183,9.0, ABarppapap
165,166,199,208,8.0, ABarppapaa
166,167,180,365,19.0, ABpraaaapa
167,168,196,374,19.0, ABpraaaaaa
168,169,183,374,16.0, ABpraaaaap
169,170,198,343,17.0, MSppaaap
170,171,214,359,19.0, MSppaaaa
