,index,x,y,z,name
0,1,208,316,21.0, ABaraap
1,2,211,365,23.0, ABaraaa
2,3,167,288,22.0, ABarapp
3,4,176,343,21.0, ABarapa
4,5,178,360,14.0, ABarpaa
5,6,167,316,17.0, ABarpap
6,7,262,344,20.0, ABalaap
7,8,252,374,18.0, ABalaaa
8,9,221,339,14.0, ABalapp
9,10,255,307,9.0, ABalppa
10,11,252,271,11.0, ABalppp
11,12,272,301,16.0, ABalpap
12,13,266,345,13.0, ABalpaa
13,14,213,366,16.0, ABalapa
15,16,116,256,22.0, ABprpaa
16,17,119,214,23.0, ABprpap
17,18,80,200,20.0, ABprppa
18,19,110,178,21.0, ABprppp
19,20,99,269,18.0, ABprapa
20,21,100,219,17.0, ABprapp
21,22,112,281,13.0, ABarppp
22,23,145,317,12.0, ABarppa
23,24,132,325,19.0, ABpraaa
24,25,130,282,21.0, ABpraap
25,26,231,220,13.0, ABplpap
26,27,230,265,8.0, ABplpaa
27,28,202,186,10.0, ABplppp
28,29,215,234,8.0, ABplppa
29,30,197,241,22.0, MSpap
30,31,197,284,18.0, MSpaa
31,32,166,225,20.0, MSppp
32,33,161,254,21.0, MSppa
33,34,235,277,21.0, MSaap
34,35,249,320,21.0, MSaaa
35,36,251,263,18.0, MSapa
36,37,233,240,20.0, MSapp
37,38,194,279,11.0, ABplapp
38,39,187,318,11.0, ABplapa
39,40,220,308,10.0, ABplaap
40,41,204,352,9.0, ABplaaa
41,42,139,163,21.0, Dp
42,43,149,155,10.0, Da
43,44,171,168,16.0, P4
44,45,104,234,10.0, Cpa
45,46,121,188,10.0, Cpp
46,47,141,239,9.0, Cap
47,48,150,281,10.0, Caa
48,49,139,219,17.0, Epr
49,50,173,196,11.0, Epl
50,51,182,252,12.0, Ear
51,52,206,223,14.0, Eal
