,index,x,y,z,name
0,1,204,315,21.0, ABaraap
1,2,214,366,21.0, ABaraaa
2,3,174,286,21.0, ABarapp
3,4,179,342,20.0, ABarapa
4,5,168,357,14.0, ABarpaa
5,6,168,320,16.0, ABarpap
6,7,264,333,22.0, ABalaap
7,8,256,375,18.0, ABalaaa
8,9,221,329,13.0, ABalapp
9,10,249,309,8.0, ABalppa
10,11,249,266,12.0, ABalppp
11,12,274,303,14.0, ABalpap
12,13,261,348,11.0, ABalpaa
13,14,222,372,14.0, ABalapa
15,16,116,254,20.0, ABprpaa
16,17,129,205,20.0, ABprpap
17,18,84,197,21.0, ABprppa
18,19,114,168,20.0, ABprppp
19,20,96,270,19.0, ABprapa
20,21,93,223,17.0, ABprapp
21,22,113,285,12.0, ABarppp
22,23,135,313,11.0, ABarppa
23,24,129,320,20.0, ABpraaa
24,25,141,273,20.0, ABpraap
25,26,228,221,13.0, ABplpap
26,27,233,259,8.0, ABplpaa
27,28,193,186,9.0, ABplppp
28,29,211,230,7.0, ABplppa
29,30,206,263,20.0, MSpa
30,31,157,237,21.0, MSpp
31,32,241,303,20.0, MSaa
32,33,244,253,19.0, MSap
33,34,195,262,8.0, ABplapp
34,35,177,307,9.0, ABplapa
35,36,215,295,10.0, ABplaap
36,37,198,351,8.0, ABplaaa
37,38,135,162,14.0, D
38,39,170,162,15.0, P4
39,40,97,239,9.0, Cpa
40,41,102,187,11.0, Cpp
41,42,130,233,10.0, Cap
42,43,149,268,9.0, Caa
43,44,146,208,14.0, Epr
44,45,158,200,11.0, Epl
45,46,188,245,14.0, Ear
46,47,204,218,15.0, Eal
