,index,x,y,z,name
0,1,210,302,22.0, ABaraapp
1,2,236,341,23.0, ABaraapa
2,3,145,294,22.0, ABarappp
3,4,161,326,20.0, ABarappa
4,5,204,333,22.0, ABarapaa
5,6,177,317,22.0, ABarapap
6,7,177,323,9.0, ABarpaap
7,8,179,361,11.0, ABarpaaa
8,9,163,336,13.0, ABarpapa
9,10,149,305,11.0, ABarpapp
10,11,229,360,17.0, ABalaapa
11,12,194,355,17.0, ABalaapp
12,13,254,367,14.0, ABalaaaa
13,14,230,374,13.0, ABalaaap
14,15,204,370,12.0, ABalappa
15,16,193,338,13.0, ABalappp
16,17,279,320,13.0, ABalppaa
17,18,269,300,15.0, ABalppap
18,19,255,276,18.0, MSapaa
19,20,225,254,18.0, MSapap
20,21,234,281,16.0, ABalpppp
21,22,241,309,13.0, ABalpppa
22,23,267,305,20.0, ABalpapp
23,24,278,336,19.0, ABalpapa
24,25,267,338,13.0, ABalpaap
25,26,267,356,17.0, ABalpaaa
26,27,223,362,9.0, ABalapaa
27,28,211,338,9.0, ABalapap
29,30,211,361,22.0, ABaraaap
30,31,240,365,21.0, ABaraaaa
32,33,132,317,21.0, ABprpaaa
33,34,108,293,20.0, ABprpaap
34,35,119,275,21.0, ABprpapa
35,36,113,249,22.0, ABprpapp
36,37,93,265,21.0, ABprppaa
37,38,96,230,21.0, ABprppap
38,39,104,185,22.0, ABprpppp
39,40,80,208,20.0, ABprpppa
40,41,92,240,17.0, ABprappa
41,42,97,201,15.0, ABprappp
42,43,121,235,13.0, ABarpppp
43,44,131,271,8.0, ABarpppa
44,45,170,296,8.0, ABarppaa
45,46,152,265,11.0, ABarppap
46,47,164,353,18.0, ABpraaaa
47,48,138,332,15.0, ABpraaap
48,49,122,315,15.0, ABpraapa
49,50,122,287,15.0, ABpraapp
50,51,231,222,12.0, ABplpapp
51,52,248,248,12.0, ABplpapa
52,53,265,286,11.0, ABplpaaa
53,54,247,268,9.0, ABplpaap
54,55,194,172,12.0, ABplpppp
55,56,213,193,11.0, ABplpppa
56,57,188,201,8.0, ABplappp
57,58,230,241,8.0, ABplppaa
58,59,208,214,11.0, ABplppap
59,60,166,228,22.0, MSpapp
60,61,193,261,22.0, MSpapa
61,62,204,323,17.0, MSpaaa
62,63,193,281,20.0, MSpaap
63,64,139,214,21.0, MSpppp
64,65,144,240,21.0, MSpppa
65,66,171,287,21.0, MSppaa
66,67,153,256,23.0, MSppap
67,68,220,242,22.0, MSaapp
68,69,240,285,22.0, MSaapa
69,70,233,302,19.0, MSaaap
70,71,242,339,17.0, MSaaaa
71,72,201,204,16.0, MSappp
72,73,218,236,18.0, MSappa
73,74,206,241,9.0, ABplappa
74,75,182,255,9.0, ABplapap
75,76,195,286,8.0, ABplapaa
76,77,240,300,9.0, ABplaapa
77,78,218,276,10.0, ABplaapp
78,79,239,334,8.0, ABplaaaa
79,80,208,311,9.0, ABplaaap
80,81,138,167,19.0, Dpp
81,82,134,194,22.0, Dpa
82,83,168,166,18.0, Dap
83,84,193,183,18.0, Daa
84,85,196,222,20.0, Z3
85,86,168,199,20.0, Z2
86,87,106,245,9.0, Cpaaa
87,88,105,212,10.0, Cpaap
88,89,88,257,13.0, ABprapap
89,90,113,285,8.0, ABprapaa
90,91,111,176,9.0, Cpap
91,92,136,152,14.0, Cppp
92,93,113,178,16.0, Cppa
93,94,151,158,9.0, Capp
94,95,159,179,8.0, Capa
95,96,151,234,8.0, Caaa
96,97,138,198,8.0, Caap
97,98,139,217,16.0, Epr
98,99,164,201,15.0, Epl
99,100,177,298,15.0, Eara
100,101,149,257,16.0, Earp
101,102,201,273,16.0, Eala
102,103,173,236,17.0, Ealp
