,index,x,y,z,name
0,1,215,320,18.0, ABaraapppa
1,2,194,312,17.0, ABaraapppp
2,3,232,353,18.0, ABaraappaa
3,4,223,337,18.0, ABaraappap
4,5,229,298,16.0, ABaraapapp
5,6,243,316,17.0, ABaraapapa
6,7,257,342,18.0, ABaraapaaa
7,8,240,334,18.0, ABaraapaap
8,9,199,347,23.0, ABarapppaa
9,10,171,300,23.0, ABarappaap
10,11,186,331,23.0, ABarapppap
11,12,147,319,22.0, ABarappppp
12,13,154,301,21.0, ABprpapaaa
13,14,157,317,24.0, ABarappapa
14,15,143,296,24.0, ABarappapp
15,16,200,315,22.0, ABarapaapp
16,17,211,333,23.0, ABaraaappp
17,18,218,302,23.0, ABarapaaap
18,19,216,324,21.0, ABarapaapa
19,20,161,279,19.0, MSpapapa
20,21,176,279,22.0, ABarapappp
21,22,187,302,21.0, ABarapappa
22,23,192,292,23.0, ABarapapap
24,25,176,246,7.0, ABarpaappp
25,26,176,277,8.0, ABarpaappa
26,27,182,295,8.0, ABarpaapap
27,28,217,314,10.0, MSaaaapp
28,29,202,318,8.0, ABarpaapaa
29,30,232,361,8.0, ABarpaaaaa
30,31,240,343,8.0, ABarpaaaap
31,32,213,333,8.0, ABarpaaapp
32,33,226,347,9.0, ABarpaaapa
33,34,198,351,8.0, ABarpapaap
34,35,212,354,8.0, ABarpapaaa
35,36,179,322,8.0, ABarpapapp
36,37,199,336,8.0, ABarpapapa
37,38,143,304,8.0, ABarpapppp
38,39,161,313,9.0, ABarpapppa
39,40,174,340,8.0, ABarpappaa
40,41,155,327,8.0, ABarpappap
41,42,208,363,24.0, ABalaapaap
42,43,197,371,22.0, ABalaapapa
43,44,224,372,22.0, ABalaapaaa
44,45,198,375,15.0, ABalaapppp
45,46,212,370,15.0, ABalaapppa
46,47,280,321,18.0, ABalaaaalp
47,48,241,373,20.0, ABalaaaarr
48,49,273,361,19.0, ABalaaaarl
49,50,258,374,16.0, ABalaaapar
50,51,275,349,16.0, ABalaaapal
51,52,279,340,19.0, ABalaaaala
52,53,211,376,20.0, ABalaappap
53,54,225,384,19.0, ABalaappaa
54,55,224,378,17.0, ABalaaappr
55,56,241,377,16.0, ABalaaappl
56,57,256,361,9.0, ABalappaap
57,58,253,378,14.0, ABalappaaa
58,59,222,378,12.0, ABalappapp
59,60,237,382,14.0, ABalappapa
60,61,237,366,12.0, ABalapppaa
61,62,218,360,12.0, ABalapppap
62,63,185,343,11.0, ABalappppp
63,64,201,361,12.0, ABalappppa
64,65,271,294,20.0, ABalppapaa
65,66,277,295,16.0, ABalppaapp
66,67,286,306,18.0, ABalppaapa
67,68,284,336,17.0, ABalppaaaa
68,69,284,321,16.0, ABalppaaap
69,70,252,258,22.0, ABalppappp
70,71,260,275,22.0, ABalppappa
71,72,257,286,24.0, ABalppapap
72,73,253,311,15.0, MSapaaap
73,74,270,314,16.0, MSapaaaa
74,75,245,288,18.0, MSapaap
75,76,252,292,15.0, MSapapaa
76,77,231,277,15.0, MSapapap
77,78,221,275,12.0, MSapapp
78,79,252,269,13.0, ABalpppppa
79,80,243,252,12.0, ABalpppppp
80,81,248,284,11.0, ABalppppap
81,82,264,295,12.0, ABalppppaa
82,83,276,304,11.0, ABalpppaap
83,84,282,308,13.0, ABalpppaaa
84,85,275,291,12.0, ABalpppapa
85,86,265,276,12.0, ABalpppapp
86,87,204,281,22.0, ABalpapppp
87,88,216,296,21.0, ABalpapppa
88,89,225,281,21.0, ABalpappap
89,90,230,305,19.0, ABalpaaapp
90,91,242,275,22.0, ABalpapapa
91,92,233,261,22.0, ABalpapapp
92,93,276,324,22.0, ABalpaappa
93,94,266,309,20.0, ABalpaappp
94,95,259,326,21.0, ABalpaapap
95,96,263,344,21.0, ABalpaapaa
96,97,242,313,21.0, ABalpaaapa
97,98,257,303,23.0, ABalpapaaa
98,99,255,331,24.0, ABalpaaaaa
99,100,268,358,13.0, ABalapaaaa
100,101,264,346,11.0, ABalapaaap
101,102,274,326,12.0, ABalapaapp
102,103,268,335,14.0, ABalapaapa
103,104,258,309,10.0, ABalapappa
104,105,233,294,9.0, ABalapappp
105,106,255,345,9.0, ABalapapaa
106,107,259,328,10.0, ABalapapap
107,108,245,353,23.0, ABaraaapaa
108,109,229,342,22.0, ABaraaapap
109,110,222,355,23.0, ABaraaappa
110,111,254,359,19.0, ABaraaaapa
111,112,247,348,16.0, ABaraaaapp
112,113,238,363,23.0, ABaraaaaap
113,114,264,358,23.0, ABaraaaaaa
115,116,188,355,22.0, ABalaapapp
116,117,176,343,21.0, ABprpaaaaa
117,118,162,332,21.0, ABprpaaaap
118,119,157,346,22.0, ABprpaaapa
119,120,141,333,21.0, ABprpaaapp
120,121,144,345,18.0, ABprpaapap
121,122,132,331,18.0, ABprpaappa
122,123,119,317,18.0, ABprpaappp
123,124,121,278,21.0, ABprppaapa
124,125,134,260,23.0, ABprpapapp
125,126,137,290,21.0, ABprpapaap
126,127,159,267,23.0, ABprpappap
127,128,161,288,23.0, ABprpappaa
128,129,159,246,21.0, ABprpapppa
129,130,137,315,19.0, ABprppaaaa
130,131,123,310,21.0, ABprppaaap
131,132,110,270,24.0, ABprppaapp
132,133,116,296,21.0, ABprppapaa
133,134,103,282,21.0, ABprppapap
134,135,94,249,20.0, ABprppappp
135,136,97,269,20.0, ABprppappa
136,137,115,241,22.0, ABprppppap
137,138,119,257,21.0, ABprppppaa
138,139,131,223,21.0, ABprpppppa
139,140,103,257,22.0, ABprpppaaa
140,141,93,226,23.0, ABprpppapa
141,142,91,242,23.0, ABprpppaap
142,143,82,241,14.0, ABprappapp
143,144,90,251,11.0, ABprappapa
144,145,89,263,15.0, ABprappaap
145,146,93,281,16.0, ABprappaaa
146,147,109,239,12.0, Cpppaa
