,index,x,y,z,name
0,1,156,352,15.0, ABprpaaa
1,2,180,378,10.0, ABprpapa
2,3,169,371,15.0, ABprpaap
3,4,192,406,10.0, ABprpapp
4,5,219,450,11.0, ABprpppp
5,6,198,445,15.0, ABprpppa
6,7,174,402,14.0, ABprppaa
7,8,207,422,14.0, ABprppap
8,9,168,387,20.0, ABpraapp
9,10,163,358,20.0, ABpraapa
10,11,163,324,17.0, ABpraaap
11,12,155,295,15.0, ABpraaaa
12,13,188,421,19.0, ABprappa
13,14,216,440,19.0, ABprappp
14,15,179,368,26.0, ABprapaa
15,16,190,405,24.0, ABprapap
16,17,301,366,13.0, ABplpppp
17,18,301,340,14.0, ABplpppa
18,19,298,300,19.0, ABplppaa
19,20,297,329,18.0, ABplppap
20,21,290,312,13.0, ABplpapp
21,22,283,277,14.0, ABplpapa
22,23,286,274,20.0, ABplpaap
23,24,272,252,18.0, ABplpaaa
24,25,162,322,11.0, ABarappa
25,26,178,342,13.0, ABarappp
26,27,182,284,9.0, ABarapaa
27,28,188,322,10.0, ABarapap
28,29,213,281,9.0, ABaraapp
29,30,203,247,10.0, ABaraapa
30,31,181,236,13.0, ABaraaaa
31,32,168,263,13.0, ABaraaap
32,33,171,303,20.0, ABarpapa
33,34,175,331,24.0, ABarpapp
34,35,180,294,25.0, ABarpaap
35,36,162,267,24.0, ABarpaaa
36,37,212,314,25.0, ABarppaa
37,38,227,345,23.0, ABarppap
38,39,200,356,24.0, ABarpppa
39,40,221,380,23.0, ABarpppp
40,41,195,287,17.0, ABalaapp
41,42,179,265,18.0, ABalaapa
42,43,179,225,18.0, ABalaaaa
43,44,171,242,19.0, ABalaaap
44,45,211,298,20.0, ABalappp
45,46,198,270,24.0, ABalapap
46,47,186,266,21.0, ABalappa
47,48,187,243,25.0, ABalapaa
48,49,250,276,18.0, ABalpppp
49,50,230,254,19.0, ABalpppa
50,51,236,214,17.0, ABalppaa
51,52,253,238,17.0, ABalppap
52,53,218,222,20.0, ABalpaap
53,54,197,215,16.0, ABalpaaa
54,55,225,229,13.0, ABalpapa
55,56,242,254,11.0, ABalpapp
56,57,270,391,24.0, Caaap
57,58,252,359,24.0, Caaaa
58,59,307,386,23.0, Caap
59,60,303,421,20.0, Capp
60,61,283,417,26.0, Capa
61,62,266,453,22.0, Cpapp
62,63,243,442,25.0, Cpapa
63,64,229,415,23.0, Cpaa
64,65,283,445,18.0, Cppp
65,66,241,459,15.0, Cppa
66,67,288,386,12.0, Daa
67,68,292,417,13.0, Dap
68,69,243,428,10.0, Dpa
69,70,272,444,12.0, Dpp
70,71,254,365,10.0, Z3
71,72,265,408,10.0, Z2
72,73,256,334,8.0, MSaapp
73,74,252,288,9.0, MSaapa
74,75,207,248,15.0, MSaaaa
75,76,232,286,13.0, MSaaap
76,77,277,353,15.0, MSappp
77,78,269,335,12.0, MSappa
78,79,255,294,14.0, MSapaa
79,80,262,316,14.0, MSapap
80,81,190,293,13.0, MSpaaa
81,82,211,316,14.0, MSpaap
82,83,224,320,9.0, MSpapa
83,84,224,365,9.0, MSpapp
84,85,232,407,11.0, MSpppp
85,86,217,386,11.0, MSpppa
86,87,200,376,14.0, MSppap
87,88,206,342,12.0, MSppaa
88,89,221,370,17.0, Earp
89,90,193,340,18.0, Eara
90,91,273,303,24.0, ABplaappp
91,92,257,278,23.0, ABplaappa
92,93,253,257,25.0, ABplaapa
93,94,226,283,25.0, ABplaaap
94,95,300,360,21.0, ABplappp
95,96,290,330,23.0, ABplappa
96,97,242,301,25.0, ABplapaa
97,98,259,326,24.0, ABplapap
100,101,228,394,16.0, Epra
101,102,283,398,19.0, Eplp
102,103,265,370,18.0, Epla
103,104,235,313,18.0, Eala
104,105,250,354,14.0, Ealp
105,106,221,250,25.0, ABplaaaa
109,110,254,423,18.0, Eprp
