,index,x,y,z,name
0,1,191,405,10.0, ABprpaa
1,2,232,425,10.0, ABprpap
2,3,257,453,10.0, ABprppp
3,4,218,460,15.0, ABprppa
4,5,180,378,12.0, ABpraap
5,6,158,339,14.0, ABpraaa
6,7,210,433,16.0, ABprapp
7,8,178,399,18.0, ABprapa
8,9,311,375,19.0, ABplppp
9,10,277,342,26.0, ABplppa
10,11,307,337,18.0, ABplpap
11,12,280,306,25.0, ABplpaa
13,14,197,336,10.0, ABarapp
14,15,173,296,10.0, ABarapa
15,16,208,277,10.0, ABaraap
16,17,178,254,12.0, ABaraaa
17,18,182,321,16.0, ABarpap
18,19,159,285,20.0, ABarpaa
19,20,167,328,22.0, ABarppa
20,21,185,380,21.0, ABarppp
21,22,223,230,12.0, ABalaap
22,23,189,222,16.0, ABalaaa
23,24,202,266,17.0, ABalapp
24,25,171,239,20.0, ABalapa
25,26,276,280,21.0, ABalppp
26,27,248,252,25.0, ABalppa
27,28,221,222,21.0, ABalpaa
28,29,265,248,18.0, ABalpap
29,30,213,354,22.0, Caa
30,31,231,395,23.0, Cap
31,32,216,428,23.0, Cpa
32,33,258,452,23.0, Cpp
33,34,291,427,17.0, Da
34,35,284,434,14.0, Dp
35,36,285,398,13.0, P4
36,37,252,291,11.0, MSaap
37,38,238,260,12.0, MSaaa
38,39,284,319,12.0, MSapp
39,40,282,294,16.0, MSapa
40,41,218,307,12.0, MSpaa
41,42,242,331,10.0, MSpap
42,43,235,376,10.0, MSppp
43,44,212,361,11.0, MSppa
44,45,255,335,20.0, Ear
45,46,228,281,22.0, ABplaap
46,47,183,264,25.0, ABplaaa
47,48,241,314,22.0, ABplapp
48,49,191,307,24.0, ABplapa
51,52,237,401,15.0, Epr
52,53,283,386,22.0, Epl
54,55,286,356,16.0, Eal
