,index,x,y,z,name
0,1,155,281,15.0, ABpraaaapa
1,2,175,282,13.0, ABprpaaaaaa
2,3,170,300,13.0, ABprpaaaaap
3,4,165,325,9.0, ABprpaaaapa
4,5,158,341,11.0, ABprpaaaapp
5,6,160,309,11.0, ABprpaaappa
6,7,158,325,12.0, ABprpaaappp
7,8,152,301,13.0, ABprpaaapa
8,9,194,379,9.0, ABprppaapp
9,10,179,364,11.0, ABprppaapa
10,11,178,347,11.0, ABprpapapaa
11,12,190,344,10.0, ABprpapaap
12,13,199,365,9.0, ABprpapappa
13,14,193,363,10.0, ABprpapapap
14,15,215,374,8.0, ABprpapappp
15,16,152,332,15.0, ABprpaapppp
16,17,151,312,15.0, ABprpaapppa
17,18,161,311,18.0, ABprpaappaa
18,19,161,327,21.0, ABprpaappap
19,20,164,293,16.0, ABprpaapaa
20,21,149,303,17.0, ABprpaapap
21,22,243,403,10.0, ABprpappppp
22,23,229,391,11.0, ABprpappppa
23,24,216,343,9.0, ABprpapppaa
24,25,222,361,9.0, ABprpapppap
25,26,213,335,8.0, ABprpappaap
26,27,207,324,8.0, ABprpappaaa
27,28,202,348,9.0, ABprpappapa
28,29,218,356,8.0, ABprpappapp
29,30,223,406,12.0, ABprpppppa
30,31,227,412,8.0, ABprppppapp
31,32,210,395,8.0, ABprppppapa
32,33,231,400,8.0, ABprppppaap
33,34,222,384,8.0, ABprppppaaa
34,35,197,421,9.0, ABprpppaap
35,36,198,402,9.0, ABprpppaaa
36,37,225,444,9.0, ABprpppapp
37,38,212,418,8.0, ABprpppapaa
38,39,236,419,9.0, ABprpppapap
39,40,172,326,14.0, ABprppaaaaa
40,41,167,340,15.0, ABprppaaap
41,42,168,374,13.0, ABprppapaap
42,43,161,354,12.0, ABprppapaaa
43,44,174,394,12.0, ABprppapap
44,45,183,405,10.0, ABprppappp
45,46,179,381,10.0, ABprppappa
46,47,160,368,17.0, ABpraapppp
47,48,156,345,20.0, ABpraapppa
48,49,147,317,19.0, ABpraappaa
49,50,148,329,19.0, ABpraappap
50,51,177,246,25.0, ABpraapaaa
51,52,163,255,26.0, ABpraapaapa
52,53,163,277,24.0, ABpraapaapp
53,54,172,283,20.0, ABpraapapa
54,55,160,298,23.0, ABpraapappp
55,56,162,278,22.0, ABpraapappa
56,57,162,266,19.0, ABpraaapap
57,58,170,269,16.0, ABpraaapaa
58,59,166,313,22.0, ABpraaapppp
59,60,172,303,20.0, ABpraaapppa
60,61,165,294,18.0, ABpraaappap
61,62,169,280,17.0, ABpraaappaa
62,63,150,287,20.0, ABpraaaappp
63,64,150,273,17.0, ABpraaaappa
64,65,154,266,15.0, ABpraaaaap
65,66,161,276,12.0, ABpraaaaaa
66,67,191,414,25.0, ABprappapa
67,68,181,423,15.0, ABprappapp
68,69,173,414,18.0, ABprappaap
69,70,171,395,16.0, ABprappaaa
70,71,218,451,9.0, ABprappppp
71,72,209,456,11.0, ABprappppa
72,73,203,436,12.0, ABprapppaa
73,74,214,433,10.0, ABprapppap
74,75,169,348,23.0, ABprapaaap
75,76,179,335,24.0, ABprapaaaa
76,77,164,388,20.0, ABprapaapp
77,78,156,359,22.0, ABprapaapa
78,79,222,460,15.0, ABprapappp
79,80,198,451,15.0, ABprapappa
80,81,189,438,16.0, ABprapapap
81,82,197,444,21.0, ABprapapaa
82,83,254,439,9.0, ABplppppppp
83,84,255,418,8.0, ABplppppppa
84,85,257,408,11.0, ABplpppppa
85,86,245,392,9.0, ABplpappppp
86,87,240,375,9.0, ABplpappppa
87,88,253,397,8.0, ABplppppapp
88,89,267,388,8.0, ABplppppapa
89,90,266,365,9.0, ABplppppaaa
90,91,257,381,8.0, ABplppppaap
91,92,285,404,9.0, ABplpppaap
92,93,296,379,10.0, ABplppappp
93,94,266,428,8.0, ABplpppapp
94,95,263,412,9.0, ABplpppapap
95,96,273,396,8.0, ABplpppapaa
96,97,281,381,9.0, ABplpppaaa
97,98,288,276,18.0, ABplpaapap
98,99,283,304,22.0, ABplpaappap
99,100,274,290,18.0, ABplpaappaa
100,101,295,302,14.0, ABplpaapppp
101,102,291,285,14.0, ABplpaapppa
102,103,283,313,13.0, ABplppaaaa
103,104,299,318,15.0, ABplppaaap
104,105,274,360,8.0, ABplppaapp
105,106,282,341,10.0, ABplppaapa
106,107,289,356,10.0, ABplppappa
107,108,300,366,12.0, ABplppapap
108,109,290,329,13.0, ABplppapaaa
109,110,299,347,12.0, ABplppapaap
110,111,247,336,8.0, ABplpappaap
111,112,237,314,7.0, ABplpappaaa
112,113,233,335,8.0, ABplpappap
113,114,236,362,9.0, ABplpapppa
114,115,253,363,8.0, ABplpapappp
115,116,263,344,9.0, ABplpapappa
116,117,264,322,9.0, ABplpapapaa
117,118,272,340,8.0, ABplpapapap
118,119,272,304,11.0, ABplpapaap
119,120,259,308,10.0, ABplpapaaa
120,121,266,272,16.0, ABplpaapaa
121,122,262,271,14.0, ABplpaaaaa
122,123,296,317,11.0, ABplpaaaapp
123,124,284,296,10.0, ABplpaaaapa
124,125,277,282,11.0, ABplpaaappa
125,126,284,298,13.0, ABplpaaappp
126,127,280,271,14.0, ABplpaaapa
127,128,194,289,8.0, ABarappaaa
128,129,198,316,8.0, ABarappaap
129,130,175,344,8.0, ABarappapp
130,131,185,297,11.0, ABarappppap
131,132,187,326,8.0, ABarappapa
132,133,181,299,8.0, ABarapppapa
133,134,186,312,9.0, ABarapppapp
134,135,182,278,11.0, ABarappppaa
135,136,177,312,11.0, ABarapppppa
136,137,176,327,11.0, ABarapppppp
137,138,192,329,11.0, ABprpapaaa
138,139,206,275,13.0, ABarapaapa
139,140,211,287,13.0, ABarapaappa
140,141,218,298,15.0, ABarapaappp
141,142,208,262,9.0, ABarapaaaa
142,143,210,276,8.0, ABarapaaap
143,144,208,317,11.0, ABarapapppa
144,145,201,303,9.0, ABarapapapa
145,146,211,313,9.0, ABarapapapp
146,147,206,277,11.0, ABarapapaaa
147,148,209,293,9.0, ABarapapaap
148,149,212,333,11.0, ABarapapppp
149,150,207,301,12.0, ABarapappa
150,151,216,309,15.0, ABaraapppp
151,152,203,300,16.0, ABaraapppap
152,153,194,254,18.0, ABaraappaa
153,154,196,280,18.0, ABaraappapp
154,155,197,263,16.0, ABaraappapa
155,156,214,273,18.0, ABaraapaapp
156,157,214,257,17.0, ABaraapaapa
157,158,198,241,20.0, MSaaaaaa
158,159,234,271,17.0, ABaraapapaa
159,160,237,283,16.0, ABaraapapap
160,161,237,296,17.0, ABaraapapp
161,162,198,233,15.0, ABaraaaapa
162,163,216,249,21.0, ABaraaaapp
163,164,216,238,12.0, ABaraaaaaa
164,165,205,251,11.0, ABaraaaaap
165,166,203,239,13.0, ABaraaapaaa
166,167,198,248,16.0, ABaraaapaap
167,168,202,259,14.0, ABaraaapapa
168,169,200,247,8.0, ABaraaappa
169,170,190,268,8.0, ABaraaappp
170,171,200,314,26.0, ABarpapapp
171,172,206,288,26.0, ABarpapapa
172,173,176,327,26.0, ABarpapppp
173,174,171,314,26.0, ABarpapppa
174,175,165,301,26.0, ABarpappap
175,176,169,286,26.0, ABarpappaa
176,177,244,342,25.0, ABarpaappp
177,178,220,333,26.0, ABarpaappa
178,179,232,318,26.0, ABarpaapap
179,180,207,304,26.0, ABarpaapaa
180,181,210,246,26.0, ABarpaaaaa
181,182,219,269,27.0, ABarpaaaap
182,183,221,287,26.0, ABarpaaapp
183,184,202,268,27.0, ABarpaaapa
184,185,289,367,25.0, ABarppaapp
185,186,267,351,26.0, ABarppaapa
186,187,288,334,26.0, ABarppaaap
187,188,265,328,26.0, ABarppaaaa
188,189,295,440,17.0, ABarppappp
189,190,305,409,22.0, ABarppappa
190,191,305,366,25.0, ABarppapap
191,192,300,345,25.0, ABarppapaa
192,193,211,358,26.0, ABarpppapa
193,194,188,389,26.0, ABarpppapp
194,195,192,341,26.0, ABarpppaaa
195,196,174,354,26.0, ABarpppaap
196,197,174,377,26.0, ABarppppaa
197,198,174,399,24.0, ABarppppap
198,199,171,262,12.0, ABalaappap
199,200,176,254,15.0, ABalaapppa
200,201,160,255,16.0, ABalaappppp
201,202,163,255,12.0, ABalaappaa
202,203,183,242,10.0, ABalaapaaa
203,204,177,256,9.0, ABalaapaap
204,205,169,286,10.0, ABalaapapp
205,206,167,299,9.0, ABalaapapa
206,207,232,224,20.0, ABalapaaaa
207,208,236,225,14.0, ABalaaaala
208,209,248,237,11.0, ABalaaaalp
209,210,189,230,13.0, ABalaaaarr
210,211,219,222,16.0, ABalaaaarl
211,212,203,223,18.0, ABalaaapar
212,213,183,230,18.0, ABalaaappl
213,214,176,240,13.0, ABalaaappr
