,index,x,y,z,name
0,1,159,334,15.0, ABprpaaaa
1,2,158,347,15.0, ABprpaaap
2,3,182,367,9.0, ABprpapaa
3,4,184,394,10.0, ABprpapap
4,5,173,383,14.0, ABprpaapp
5,6,163,362,14.0, ABprpaapa
6,7,203,428,10.0, ABprpappp
7,8,197,404,9.0, ABprpappa
8,9,229,461,12.0, ABprppppp
9,10,212,454,12.0, ABprppppa
10,11,200,447,16.0, ABprpppa
11,12,175,409,13.0, ABprppaa
12,13,211,425,14.0, ABprppap
13,14,176,396,20.0, ABpraappp
14,15,160,377,19.0, ABpraappa
15,16,155,340,21.0, ABpraapaa
16,17,170,361,21.0, ABpraapap
17,18,152,300,20.0, ABpraaapa
18,19,163,323,20.0, ABpraaapp
19,20,159,295,15.0, ABpraaaa
20,21,200,432,21.0, ABprappap
21,22,188,414,21.0, ABprappaa
22,23,224,440,20.0, ABprappp
23,24,181,374,24.0, ABprapaa
24,25,209,416,25.0, ABprapapp
25,26,195,393,25.0, ABprapapa
26,27,304,388,13.0, ABplppppp
27,28,296,364,12.0, ABplppppa
28,29,305,355,14.0, ABplpppap
29,30,300,337,12.0, ABplpppaa
30,31,299,308,15.0, ABplppaa
31,32,290,335,16.0, ABplppap
32,33,272,305,10.0, ABplpappa
33,34,288,328,10.0, ABplpappp
34,35,279,279,12.0, ABplpapa
35,36,287,282,19.0, ABplpaap
36,37,270,260,16.0, ABplpaaa
37,38,165,315,11.0, ABarappa
38,39,179,324,14.0, ABarapppa
39,40,182,352,12.0, ABarapppp
40,41,190,281,10.0, ABarapaa
41,42,186,301,9.0, ABarapapa
42,43,198,328,9.0, ABarapapp
43,44,221,302,10.0, ABaraappp
44,45,215,273,9.0, ABaraappa
45,46,197,232,11.0, ABaraapaa
46,47,210,258,10.0, ABaraapap
47,48,183,231,15.0, ABaraaaa
48,49,173,250,14.0, ABaraaapa
49,50,178,275,13.0, ABaraaapp
50,51,170,283,21.0, ABarpapaa
51,52,176,309,23.0, ABarpapap
52,53,184,341,25.0, ABarpappp
53,54,172,323,25.0, ABarpappa
54,55,196,313,25.0, ABarpaapp
55,56,178,286,25.0, ABarpaapa
56,57,175,263,26.0, ABarpaaa
57,58,224,314,24.0, ABarppaa
58,59,239,351,23.0, ABarppap
59,60,202,359,24.0, ABarpppa
60,61,226,382,23.0, ABarpppp
61,62,184,288,17.0, ABalaapp
62,63,168,263,19.0, ABalaapa
63,64,184,223,20.0, ABalaaaa
64,65,182,243,20.0, ABalaaap
65,66,208,293,21.0, ABalappp
66,67,212,273,26.0, ABalapap
67,68,193,266,20.0, ABalappa
68,69,206,250,25.0, ABalapaa
69,70,252,290,18.0, ABalppppp
70,71,246,270,20.0, ABalppppa
71,72,230,255,19.0, ABalpppa
72,73,243,219,17.0, ABalppaa
73,74,251,248,14.0, ABalppap
74,75,234,238,18.0, ABalpaapp
75,76,213,222,22.0, ABalpaapa
76,77,203,213,17.0, ABalpaaa
77,78,216,222,14.0, ABalpapaa
78,79,228,239,10.0, ABalpapap
79,80,249,279,9.0, ABalpappp
80,81,234,257,8.0, ABalpappa
81,82,275,405,24.0, Caaap
82,83,261,366,24.0, Caaaa
83,84,304,390,22.0, Caap
84,85,295,419,18.0, Capp
85,86,291,427,25.0, Capa
86,87,281,458,19.0, Cpapp
87,88,248,459,23.0, Cpapa
88,89,258,433,24.0, Cpaap
89,90,233,409,25.0, Cpaaa
90,91,269,449,11.0, Dpp
91,92,271,442,16.0, Cppp
92,93,243,468,16.0, Cppa
93,94,280,384,11.0, Daa
94,95,285,427,11.0, Dap
95,96,230,429,10.0, Dpa
96,97,249,366,11.0, Z3
97,98,250,409,10.0, Z2
98,99,257,344,8.0, MSaapp
99,100,246,308,9.0, MSaapa
100,101,206,251,16.0, MSaaaa
101,102,231,290,14.0, MSaaap
102,103,275,354,16.0, MSappp
103,104,265,335,12.0, MSappa
104,105,253,298,14.0, MSapaa
105,106,264,318,15.0, MSapap
106,107,199,297,13.0, MSpaaa
107,108,217,320,14.0, MSpaap
108,109,223,336,9.0, MSpapa
109,110,216,374,9.0, MSpapp
110,111,222,404,12.0, MSpppp
111,112,204,387,13.0, MSpppa
112,113,193,369,14.0, MSppap
113,114,202,340,14.0, MSppaa
114,115,215,370,18.0, Earp
115,116,192,336,19.0, Eara
116,117,286,309,22.0, ABplaappp
117,118,276,277,24.0, ABplaappa
118,119,254,245,22.0, ABplaapaa
119,120,267,265,25.0, ABplaapap
120,121,242,293,24.0, ABplaaapp
121,122,237,270,25.0, ABplaaapa
122,123,301,372,18.0, ABplappp
123,124,302,354,22.0, ABplappap
124,125,296,326,23.0, ABplappaa
125,126,258,304,25.0, ABplapaa
126,127,278,349,23.0, ABplapapp
127,128,264,327,25.0, ABplapapa
130,131,225,394,17.0, Epra
131,132,272,400,17.0, Eplp
132,133,260,374,18.0, Epla
133,134,236,314,19.0, Eala
134,135,247,357,15.0, Ealp
135,136,243,255,25.0, ABplaaaap
136,137,230,235,24.0, ABplaaaaa
140,141,247,423,16.0, Eprp
