,index,x,y,z,name
0,1,157,324,15.0, ABprpaaaa
1,2,155,348,14.0, ABprpaaap
2,3,182,358,12.0, ABprpapaa
3,4,168,363,10.0, ABprpapap
4,5,161,366,17.0, ABprpaapp
5,6,155,342,18.0, ABprpaapa
6,7,185,390,9.0, ABprpappp
7,8,189,369,9.0, ABprpappa
8,9,199,423,9.0, ABprppppp
9,10,189,421,12.0, ABprppppa
10,11,178,421,17.0, ABprpppaa
11,12,193,443,17.0, ABprpppap
12,13,164,379,14.0, ABprppaaa
13,14,175,396,14.0, ABprppaap
14,15,182,405,17.0, ABprppapa
15,16,199,430,18.0, ABprppapp
16,17,170,379,23.0, ABpraappp
17,18,159,357,22.0, ABpraappa
18,19,160,310,24.0, ABpraapaa
19,20,164,339,24.0, ABpraapap
20,21,159,290,20.0, ABpraaapa
21,22,159,315,20.0, ABpraaapp
22,23,150,304,16.0, ABpraaaap
23,24,152,279,16.0, ABpraaaaa
24,25,197,431,23.0, ABprappap
25,26,183,410,22.0, ABprappaa
26,27,212,455,17.0, ABprapppp
27,28,210,444,22.0, ABprapppa
28,29,175,360,26.0, ABprapaaa
29,30,191,380,25.0, ABprapaap
30,31,219,431,26.0, ABprapapp
31,32,193,402,26.0, ABprapapa
32,33,288,391,9.0, ABplppppp
33,34,284,361,10.0, ABplppppa
34,35,302,380,12.0, ABplpppap
35,36,299,351,11.0, ABplpppaa
36,37,296,304,15.0, ABplpaapp
37,38,287,313,12.0, ABplppaaa
38,39,294,329,12.0, ABplppaap
39,40,293,365,15.0, ABplppapp
40,41,302,337,15.0, ABplppapa
41,42,262,313,9.0, ABplpappa
42,43,274,339,9.0, ABplpappp
43,44,274,298,10.0, ABplpapap
44,45,268,283,9.0, ABplpapaa
45,46,288,276,18.0, ABplpaapa
46,47,272,259,15.0, ABplpaaaa
47,48,288,286,14.0, ABplpaaap
48,49,170,305,9.0, ABarappaa
49,50,186,333,9.0, ABarappap
50,51,169,319,11.0, ABarapppa
51,52,175,339,13.0, ABarapppp
52,53,189,295,9.0, ABarapaap
53,54,187,270,9.0, ABarapaaa
54,55,199,314,9.0, ABarapapa
55,56,210,335,9.0, ABarapapp
56,57,210,301,11.0, ABaraappp
57,58,200,281,11.0, ABaraappa
58,59,208,252,9.0, ABaraapaa
59,60,214,270,13.0, ABaraapap
60,61,195,258,13.0, ABaraaaap
61,62,185,236,13.0, ABaraaaaa
62,63,175,257,11.0, ABaraaapa
63,64,170,284,10.0, ABaraaapp
64,65,185,295,26.0, ABarpapap
65,66,184,334,24.0, ABarpappp
66,67,189,312,26.0, ABarpappa
67,68,214,323,25.0, ABarpaapp
68,69,216,292,26.0, ABarpaapa
69,70,206,251,26.0, ABarpaaaa
70,71,215,270,25.0, ABarpaaap
71,72,253,342,25.0, ABarppaap
72,73,237,312,25.0, ABarppaaa
73,74,281,373,23.0, ABarppapp
74,75,269,353,25.0, ABarppapa
75,76,202,363,25.0, ABarpppap
76,77,201,341,26.0, ABarpppaa
77,78,218,378,24.0, ABarppppa
78,79,163,258,19.0, ABalaappa
79,80,168,270,22.0, ABalaappp
80,81,171,238,17.0, ABalaapaa
81,82,163,253,16.0, ABalaapap
82,83,206,218,20.0, ABalaaaal
83,84,190,220,15.0, ABalaaaar
84,85,186,222,20.0, ABalaaapa
85,86,171,238,21.0, ABalaaapp
86,87,190,300,23.0, ABalapppp
87,88,193,275,26.0, ABarpapaa
88,89,187,273,23.0, ABalapppa
89,90,246,279,22.0, ABalapapp
90,91,230,256,23.0, ABalapapa
91,92,191,255,22.0, ABalappap
92,93,190,237,23.0, ABalappaa
93,94,209,229,23.0, ABalapaaa
94,95,226,238,22.0, ABalapaap
95,96,268,286,21.0, ABalppppp
96,97,269,260,21.0, ABalppppa
97,98,231,246,18.0, ABalpppaa
98,99,254,250,19.0, ABalpppap
99,100,258,238,14.0, ABalppaap
100,101,245,226,16.0, ABalppaaa
101,102,259,273,12.0, ABalppapp
102,103,258,251,11.0, ABalppapa
103,104,233,243,15.0, ABalpaapp
104,105,203,233,12.0, ABalpaaaa
105,106,220,234,11.0, ABalpaaap
106,107,230,245,10.0, ABalpapaa
107,108,238,260,10.0, ABalpapap
108,109,230,302,9.0, ABalpappp
109,110,226,278,9.0, ABalpappa
110,111,291,425,22.0, Caaap
111,112,281,390,26.0, Caaaa
112,113,305,430,17.0, Caapp
113,114,310,409,20.0, Caapa
114,115,291,413,15.0, Cappa
115,116,279,431,15.0, Cappp
116,117,270,425,11.0, Capaa
117,118,279,448,13.0, Capap
118,119,254,471,18.0, Cpapp
119,120,247,451,22.0, Cpapa
120,121,264,433,25.0, Cpaap
121,122,226,402,24.0, ABarppppp
122,123,245,390,26.0, Cpaaa
123,124,226,420,15.0, Dpp
124,125,232,448,17.0, Cpppa
125,126,257,446,15.0, Cpppp
126,127,209,434,12.0, Cppaa
127,128,242,445,11.0, Cppap
128,129,269,381,10.0, Daa
129,130,263,407,13.0, Dap
130,131,206,401,11.0, Dpa
131,132,246,362,13.0, Z3
132,133,237,392,12.0, Z2
133,134,245,341,8.0, MSaappa
134,135,251,367,9.0, MSaappp
135,136,237,299,13.0, MSaapaa
136,137,245,328,11.0, MSaapap
137,138,194,240,18.0, MSaaaaa
138,139,207,262,19.0, MSaaaap
139,140,220,279,18.0, MSaaapa
140,141,228,310,16.0, MSaaapp
141,142,280,356,17.0, MSapppp
142,143,276,327,16.0, MSapppa
143,144,262,310,14.0, MSappaa
144,145,265,340,12.0, MSappap
145,146,248,286,17.0, MSapaap
146,147,241,260,16.0, MSapaaa
147,148,267,286,17.0, MSapapa
148,149,272,315,19.0, MSapapp
149,150,179,265,17.0, MSpaaaa
150,151,187,289,19.0, MSpaaap
151,152,195,304,16.0, MSpaapa
152,153,221,327,17.0, MSpaapp
153,154,214,322,13.0, MSpapaa
154,155,223,350,12.0, MSpapap
155,156,224,384,9.0, MSpappp
156,157,212,360,9.0, MSpappa
157,158,200,394,17.0, MSppppp
158,159,184,371,17.0, MSppppa
159,160,202,376,13.0, MSpppap
160,161,196,346,14.0, MSpppaa
161,162,186,357,19.0, MSppapp
162,163,175,329,19.0, MSppapa
163,164,173,296,15.0, MSppaaa
164,165,182,323,16.0, MSppaap
165,166,221,357,17.0, Earp
166,167,209,324,20.0, Eara
167,168,299,319,20.0, ABplaappp
168,169,291,292,22.0, ABplaappa
169,170,261,252,24.0, ABplaapaa
170,171,275,280,26.0, ABplaapap
171,172,261,314,26.0, ABplaaapp
172,173,249,283,26.0, ABplaaapa
173,174,303,400,13.0, ABplapppp
174,175,311,387,17.0, ABplapppa
175,176,308,370,19.0, ABplappap
176,177,305,346,19.0, ABplappaa
177,178,282,305,26.0, ABplapaaa
178,179,284,330,25.0, ABplapaap
179,180,304,390,21.0, ABplapapp
180,181,296,347,25.0, ABplapapa
182,183,220,383,19.0, Epra
183,184,263,404,19.0, Eplp
184,185,261,369,19.0, Epla
185,186,243,308,20.0, Eala
186,187,257,344,18.0, Ealp
187,188,241,264,27.0, ABplaaaap
188,189,241,243,26.0, ABplaaaaa
189,190,216,220,16.0, ABalpaapa
190,191,238,418,20.0, Eprp
