,index,x,y,z,name
0,1,155,287,16.0, ABpraaaapa
1,2,169,292,13.0, ABprpaaaaa
2,3,161,314,11.0, ABprpaaaap
3,4,158,333,14.0, ABprpaaapp
4,5,156,318,14.0, ABprpaaapa
5,6,188,384,10.0, ABprppaapp
6,7,181,369,10.0, ABprppaapa
7,8,197,353,11.0, ABprpapaap
8,9,181,354,9.0, ABprpapapa
9,10,199,368,9.0, ABprpapapp
10,11,158,350,14.0, ABprpaappp
11,12,152,337,17.0, ABprpaappa
12,13,160,304,16.0, ABprpaapaa
13,14,157,322,17.0, ABprpaapap
14,15,225,396,9.0, ABprpapppp
15,16,215,371,9.0, ABprpapppa
16,17,197,324,8.0, ABprpappaa
17,18,208,354,9.0, ABprpappap
18,19,225,411,10.0, ABprpppppa
19,20,203,411,10.0, ABprppppap
20,21,202,395,9.0, ABprppppaa
21,22,193,424,10.0, ABprpppaap
22,23,187,402,10.0, ABprpppaaa
23,24,224,440,9.0, ABprpppapp
24,25,207,436,9.0, ABprpppapa
25,26,171,353,12.0, ABprppaaap
26,27,176,336,14.0, ABprppaaaa
27,28,171,365,12.0, ABprppapaa
28,29,170,383,12.0, ABprppapap
29,30,182,414,12.0, ABprppappp
30,31,176,397,12.0, ABprppappa
31,32,162,373,17.0, ABpraapppp
32,33,156,354,20.0, ABpraapppa
33,34,149,316,23.0, ABpraappaa
34,35,155,336,23.0, ABpraappap
35,36,169,261,26.0, ABpraapaaa
36,37,163,280,24.0, ABpraapaap
37,38,159,296,23.0, ABpraapapa
38,39,166,312,25.0, ABpraapapp
39,40,163,279,21.0, ABpraaapap
40,41,169,267,20.0, ABpraaapaa
41,42,160,315,21.0, ABpraaappp
42,43,162,294,20.0, ABpraaappa
43,44,149,304,18.0, ABpraaaapp
44,45,154,276,18.0, ABpraaaaap
45,46,154,262,18.0, ABpraaaaaa
46,47,185,420,23.0, ABprappapa
47,48,190,433,19.0, ABprappapp
48,49,179,413,17.0, ABprappaap
49,50,172,395,16.0, ABprappaaa
50,51,226,453,11.0, ABprappppp
51,52,212,453,12.0, ABprappppa
52,53,189,427,14.0, ABprapppaa
53,54,198,440,14.0, ABprapppap
54,55,171,364,23.0, ABprapaaap
55,56,167,349,23.0, ABprapaaaa
56,57,168,396,20.0, ABprapaapp
57,58,167,380,23.0, ABprapaapa
58,59,211,458,16.0, ABprapappp
59,60,211,456,21.0, ABprapappa
60,61,200,445,22.0, ABprapapap
61,62,200,430,25.0, ABprapapaa
62,63,241,410,9.0, ABplpppppp
63,64,246,390,9.0, ABplpppppa
64,65,247,374,8.0, ABplpapppp
65,66,264,380,9.0, ABplppppap
66,67,264,360,9.0, ABplppppaa
67,68,282,387,9.0, ABplpppaap
68,69,296,377,10.0, ABplppappp
69,70,266,424,9.0, ABplpppapp
70,71,277,405,9.0, ABplpppapa
71,72,282,367,9.0, ABplpppaaa
72,73,293,286,17.0, ABplpaapap
73,74,293,300,18.0, ABplpaappa
74,75,300,309,15.0, ABplpaappp
75,76,280,307,12.0, ABplppaaaa
