,index,x,y,z,name
0,1,164,276,14.0, ABpraaaapav
1,2,152,283,14.0, ABpraaaapad
2,3,175,280,16.0, ABprpaapaaa
3,4,185,346,9.0, ABprpaaaapa
4,5,190,369,9.0, ABprpaaaapp
5,6,174,295,12.0, ABprpaaappa
6,7,167,313,11.0, ABprpaapppp
7,8,172,305,11.0, ABprpaaappp
8,9,171,285,11.0, ABprpaaapaa
9,10,212,358,9.0, ABprppaappa
10,11,201,370,10.0, ABprppappaa
11,12,182,352,12.0, ABprppaapap
12,13,173,343,12.0, ABprppaapaa
13,14,191,341,12.0, ABprpapapaa
14,15,185,334,11.0, ABprpapaapp
15,16,182,321,10.0, ABprpapaapa
16,17,210,350,10.0, ABprpapappa
17,18,198,346,11.0, ABprpapapap
18,19,225,366,9.0, ABprpapappp
19,20,152,292,15.0, ABprpaapapp
20,21,161,305,14.0, ABprpaapppa
21,22,166,314,19.0, ABprpaappaa
22,23,159,328,19.0, ABprpaappap
23,24,163,297,17.0, ABprpaapaap
24,25,166,293,14.0, ABprpaaapap
25,26,247,401,12.0, ABprpappppp
26,27,233,394,11.0, ABprpappppa
27,28,207,329,9.0, ABprpapppaa
28,29,210,328,8.0, ABprpappaap
29,30,210,317,9.0, ABprpappaaa
30,31,214,340,10.0, ABprpappapa
31,32,219,353,10.0, ABprpappapp
32,33,232,351,10.0, ABprpapppap
33,34,219,418,14.0, ABprpppppap
34,35,211,408,13.0, ABprpppppaa
35,36,228,414,9.0, ABprppppapp
36,37,216,402,9.0, ABprppppapa
37,38,230,407,10.0, ABprppppaap
38,39,224,393,10.0, ABprppppaaa
39,40,211,444,9.0, ABprpppaapp
40,41,212,434,10.0, ABprpppaapa
41,42,210,392,9.0, ABprpppaaaa
42,43,210,374,9.0, ABprppaappp
43,44,203,411,9.0, ABprpppaaap
44,45,225,458,10.0, ABprpppapp
45,46,219,427,9.0, ABprpppapaa
46,47,235,430,9.0, ABprpppapap
47,48,181,316,12.0, ABprppaaaaa
48,49,170,321,12.0, ABprppaaap
49,50,190,377,13.0, ABprppapaap
50,51,185,365,12.0, ABprppapaaa
51,52,194,404,13.0, ABprppapapp
52,53,188,390,14.0, ABprppapapa
53,54,200,393,11.0, ABprppapppa
54,55,194,411,11.0, ABprppapppp
55,56,197,380,10.0, ABprppappap
56,57,162,361,17.0, ABpraapppp
57,58,155,338,13.0, ABpraapppa
58,59,154,306,13.0, ABpraappaa
59,60,155,321,13.0, ABpraappap
60,61,194,227,22.0, ABalapppaap
61,62,189,222,23.0, ABpraapaaaa
62,63,189,238,26.0, ABarpapaaaa
63,64,178,233,24.0, ABpraapaaap
64,65,161,254,23.0, ABpraapaapa
65,66,158,267,22.0, ABpraapaapp
66,67,172,301,22.0, ABpraapapap
67,68,169,301,24.0, ABpraapappp
68,69,171,285,22.0, ABpraapappa
69,70,169,257,21.0, ABalappapap
70,71,177,242,20.0, ABalappapaa
71,72,162,249,19.0, ABpraaapapp
72,73,168,275,17.0, ABpraaapaav
73,74,154,303,20.0, ABpraaapppp
74,75,168,315,21.0, ABpraaapppa
75,76,168,300,19.0, ABpraaappap
76,77,173,288,21.0, ABpraapapaa
77,78,152,275,17.0, ABprpaapapa
78,79,170,275,21.0, ABpraaapaad
79,80,161,277,20.0, ABpraaaappa
80,81,154,259,18.0, ABpraaaaapv
81,82,162,278,12.0, ABpraaaaaap
82,83,188,395,26.0, ABprappapa
83,84,185,417,15.0, ABprappapp
84,85,176,403,16.0, ABprappaap
85,86,173,387,16.0, ABprappaaa
86,87,222,464,12.0, ABprappppp
87,88,202,454,12.0, ABprappppa
88,89,199,443,16.0, ABprapppaaa
89,90,209,455,14.0, ABprapppaap
90,91,210,455,11.0, ABprapppapa
91,92,165,335,22.0, ABprapaaapa
92,93,165,346,21.0, ABprapaaapp
93,94,181,321,26.0, ABprapaaaap
94,95,165,317,25.0, ABprapaaaaa
95,96,166,375,19.0, ABprapaapp
96,97,161,351,14.0, ABprapaapa
97,98,222,458,15.0, ABprapapppp
98,99,213,462,18.0, ABprapapppa
99,100,192,441,13.0, ABprapappa
100,101,187,431,17.0, ABprapapap
101,102,196,436,24.0, ABprapapaa
102,103,258,455,10.0, ABplppppppp
103,104,252,442,9.0, ABplppppppa
104,105,265,428,13.0, ABplpppppap
105,106,274,421,15.0, ABplpppppaa
106,107,247,406,10.0, ABplpappppp
107,108,238,387,10.0, ABplpappppa
108,109,255,407,9.0, ABplppppapp
109,110,267,400,10.0, ABplppppapa
110,111,254,385,9.0, ABplppppaaa
111,112,252,394,10.0, ABplppppaap
113,114,270,425,9.0, ABplpppaapa
114,115,278,385,10.0, ABplppapppp
115,116,272,372,9.0, ABplppapppa
116,117,273,447,9.0, ABplapppapa
117,118,247,424,9.0, ABplpppapap
118,119,259,422,8.0, ABplpppapaa
119,120,267,384,8.0, ABplpppaaaa
120,121,279,397,10.0, ABplpppaaap
121,122,277,253,16.0, ABplpaapapp
122,123,285,309,21.0, ABplapaaapa
123,124,286,302,17.0, ABplpaappap
124,125,274,293,19.0, ABplpaappaa
125,126,272,291,11.0, ABplpaapppp
126,127,282,270,13.0, ABplpaapapa
127,128,275,276,13.0, ABplpaapppa
128,129,266,300,13.0, ABplppaaaaa
129,130,275,309,13.0, ABplppaaaap
130,131,278,317,9.0, ABplppaaap
131,132,250,354,10.0, ABplppaappa
132,133,260,367,9.0, ABplppaappp
133,134,272,332,12.0, ABplppaapap
134,135,273,323,12.0, ABplppaapaa
135,136,267,353,12.0, ABplppappaa
136,137,269,362,10.0, ABplppappap
137,138,285,372,11.0, ABplppapapa
138,139,287,381,12.0, ABplppapapp
139,140,281,343,12.0, ABplppapaaa
140,141,281,357,12.0, ABplppapaap
141,142,243,333,10.0, ABplpappaap
142,143,235,317,8.0, ABplpappaaa
143,144,239,372,9.0, ABplpapppaa
144,145,225,379,9.0, ABplpapppap
145,146,246,363,10.0, ABplpapappp
146,147,243,348,10.0, ABplpapappa
147,148,255,322,12.0, ABplpapapaa
148,149,257,335,12.0, ABplpapapap
149,150,253,293,11.0, ABplpapaapa
150,151,263,305,10.0, ABplpapaapp
151,152,253,310,11.0, ABplpapaaap
152,153,272,274,16.0, ABplpaapaap
153,154,255,257,16.0, ABalppppaad
154,155,262,268,15.0, ABplpaaaaap
155,156,271,353,9.0, ABplpaaaapp
156,157,266,333,9.0, ABplpaaaapa
157,158,262,274,12.0, ABplpaaappa
158,159,263,289,12.0, ABplpaaappp
159,160,273,267,12.0, ABplpaaapap
160,161,194,279,9.0, ABarappaaaa
161,162,209,287,8.0, ABarappaapa
162,163,205,304,8.0, ABarappaapp
163,164,191,356,9.0, ABarappappa
164,165,183,277,11.0, ABarappppap
165,166,194,318,8.0, ABarappapaa
166,167,194,334,8.0, ABarappapap
167,168,184,288,8.0, ABarapppapa
168,169,192,304,8.0, ABarapppapp
169,170,175,278,8.0, ABalaapappa
170,171,184,294,11.0, ABarapppppa
171,172,187,303,10.0, ABarapppppp
172,173,194,327,11.0, ABprpapaaap
173,174,196,316,10.0, ABprpapaaaa
174,175,209,277,17.0, ABarapaapap
175,176,213,298,16.0, ABarapaappp
176,177,205,261,10.0, ABarapaaaaa
177,178,208,282,9.0, ABarapaaapp
178,179,207,269,9.0, ABarapaaapa
179,180,209,272,11.0, ABarapaaaap
180,181,218,307,9.0, ABarapapppa
181,182,197,294,9.0, ABarappaaap
182,183,203,297,10.0, ABarapapapa
183,184,223,324,10.0, ABarapapapp
184,185,202,278,13.0, ABarapapaaa
185,186,209,285,12.0, ABarapapaap
186,187,215,310,11.0, ABarapapppp
