,index,x,y,z,name
0,1,187,403,10.0, ABprpaa
1,2,223,424,9.0, ABprpap
2,3,244,454,10.0, ABprppp
3,4,212,457,15.0, ABprppa
4,5,173,374,13.0, ABpraap
5,6,157,337,16.0, ABpraaa
6,7,201,428,15.0, ABprapp
7,8,178,396,18.0, ABprapa
8,9,309,384,21.0, ABplppp
9,10,280,342,26.0, ABplppa
10,11,308,340,19.0, ABplpap
11,12,281,301,25.0, ABplpaa
13,14,189,333,10.0, ABarapp
14,15,172,297,10.0, ABarapa
15,16,205,279,10.0, ABaraap
16,17,179,253,12.0, ABaraaa
17,18,181,312,17.0, ABarpap
18,19,162,282,21.0, ABarpaa
19,20,170,325,23.0, ABarppa
20,21,187,373,21.0, ABarppp
21,22,225,234,12.0, ABalaap
22,23,198,218,16.0, ABalaaa
23,24,207,259,18.0, ABalapp
24,25,175,239,19.0, ABalapa
25,26,270,286,20.0, ABalppp
26,27,250,252,24.0, ABalppa
27,28,229,223,20.0, ABalpaa
28,29,264,254,16.0, ABalpap
29,30,215,352,26.0, Caa
30,31,231,386,23.0, Cap
31,32,214,418,23.0, Cpa
32,33,259,445,21.0, Cpp
33,34,300,425,19.0, Da
34,35,276,444,12.0, Dp
35,36,286,407,13.0, P4
36,37,258,306,10.0, MSaap
37,38,241,258,11.0, MSaaa
38,39,286,335,11.0, MSapp
39,40,286,298,16.0, MSapa
40,41,219,303,11.0, MSpaa
41,42,244,344,9.0, MSpap
42,43,235,387,10.0, MSppp
43,44,204,357,10.0, MSppa
44,45,254,334,18.0, Ear
45,46,228,278,22.0, ABplaap
46,47,185,258,25.0, ABplaaa
47,48,241,313,23.0, ABplapp
48,49,196,302,24.0, ABplapa
51,52,242,399,15.0, Epr
52,53,276,382,22.0, Epl
54,55,286,360,16.0, Eal
