,index,x,y,z,name
0,1,155,316,14.0, ABprpaaaa
1,2,153,340,14.0, ABprpaaap
2,3,177,356,10.0, ABprpapaa
3,4,167,370,12.0, ABprpapap
4,5,167,366,16.0, ABprpaapp
5,6,157,351,17.0, ABprpaapa
6,7,190,393,10.0, ABprpappp
7,8,182,378,9.0, ABprpappa
8,9,199,420,9.0, ABprppppp
9,10,188,423,13.0, ABprppppa
10,11,180,420,18.0, ABprpppaa
11,12,194,439,18.0, ABprpppap
12,13,167,387,15.0, ABprppaaa
13,14,174,404,14.0, ABprppaap
14,15,189,403,17.0, ABprppapa
15,16,204,426,18.0, ABprppapp
16,17,176,372,23.0, ABpraappp
17,18,156,359,22.0, ABpraappa
18,19,157,305,23.0, ABpraapaa
19,20,159,336,23.0, ABpraapap
20,21,153,285,20.0, ABpraaapa
21,22,162,312,19.0, ABpraaapp
22,23,152,297,15.0, ABpraaaap
23,24,153,272,15.0, ABpraaaaa
24,25,192,422,23.0, ABprappap
25,26,178,401,22.0, ABprappaa
26,27,213,449,19.0, ABprapppp
27,28,206,440,24.0, ABprapppa
28,29,173,358,27.0, ABprapaaa
29,30,196,374,26.0, ABprapaap
30,31,209,421,26.0, ABprapapp
31,32,196,391,23.0, ABprapapa
32,33,289,383,9.0, ABplppppp
33,34,283,355,10.0, ABplppppa
34,35,306,373,12.0, ABplpppap
35,36,301,346,12.0, ABplpppaa
36,37,295,310,17.0, ABplpaapp
37,38,287,314,14.0, ABplppaaa
38,39,299,327,13.0, ABplppaap
39,40,292,365,15.0, ABplppapp
40,41,300,338,17.0, ABplppapa
41,42,270,313,9.0, ABplpappa
42,43,279,333,9.0, ABplpappp
43,44,279,297,11.0, ABplpapap
44,45,277,275,11.0, ABplpapaa
45,46,293,287,19.0, ABplpaapa
46,47,275,257,17.0, ABplpaaaa
47,48,287,280,15.0, ABplpaaap
48,49,174,296,9.0, ABarappaa
49,50,187,329,10.0, ABarappap
50,51,166,320,10.0, ABarapppa
51,52,179,339,13.0, ABarapppp
52,53,193,287,9.0, ABarapaap
53,54,195,262,9.0, ABarapaaa
