,index,x,y,z,name
0,1,157,322,15.0, ABprpaaaa
1,2,154,348,14.0, ABprpaaap
2,3,181,358,12.0, ABprpapaa
3,4,170,364,10.0, ABprpapap
4,5,159,366,18.0, ABprpaapp
5,6,157,344,18.0, ABprpaapa
6,7,184,390,9.0, ABprpappp
7,8,193,360,9.0, ABprpappa
8,9,202,422,9.0, ABprppppp
9,10,193,419,12.0, ABprppppa
10,11,179,421,15.0, ABprpppaa
11,12,195,446,14.0, ABprpppap
12,13,162,372,14.0, ABprppaaa
13,14,173,392,13.0, ABprppaap
14,15,183,406,16.0, ABprppapa
15,16,197,432,17.0, ABprppapp
16,17,169,383,22.0, ABpraappp
17,18,160,357,23.0, ABpraappa
18,19,160,307,25.0, ABpraapaa
19,20,166,338,24.0, ABpraapap
20,21,162,289,19.0, ABpraaapa
21,22,160,321,20.0, ABpraaapp
22,23,150,304,16.0, ABpraaaap
23,24,152,281,17.0, ABpraaaaa
24,25,200,437,23.0, ABprappap
25,26,184,413,21.0, ABprappaa
26,27,215,458,15.0, ABprapppp
27,28,208,448,19.0, ABprapppa
28,29,179,362,24.0, ABprapaaa
29,30,186,385,25.0, ABprapaap
30,31,218,440,24.0, ABprapapp
31,32,193,410,26.0, ABprapapa
32,33,285,391,9.0, ABplppppp
33,34,283,356,10.0, ABplppppa
34,35,302,382,11.0, ABplpppap
35,36,300,354,11.0, ABplpppaa
36,37,295,306,14.0, ABplpaapp
37,38,285,314,11.0, ABplppaaa
38,39,291,329,11.0, ABplppaap
39,40,295,364,14.0, ABplppapp
40,41,298,338,14.0, ABplppapa
41,42,258,319,9.0, ABplpappa
42,43,270,342,9.0, ABplpappp
43,44,270,302,9.0, ABplpapap
44,45,257,291,10.0, ABplpapaa
45,46,287,276,17.0, ABplpaapa
46,47,273,263,15.0, ABplpaaaa
47,48,287,287,12.0, ABplpaaap
48,49,176,304,9.0, ABarappaa
49,50,183,333,9.0, ABarappap
50,51,167,318,11.0, ABarapppa
51,52,176,338,13.0, ABarapppp
52,53,193,293,10.0, ABarapaap
53,54,189,274,9.0, ABarapaaa
54,55,199,311,8.0, ABarapapa
55,56,211,327,10.0, ABarapapp
56,57,207,302,12.0, ABaraappp
57,58,197,279,13.0, ABaraappa
58,59,203,255,10.0, ABaraapaa
59,60,213,268,13.0, ABaraapap
60,61,193,258,14.0, ABaraaaap
61,62,187,236,14.0, ABaraaaaa
62,63,176,252,11.0, ABaraaapa
63,64,170,281,10.0, ABaraaapp
64,65,187,299,28.0, ABarpapap
65,66,187,342,24.0, ABarpappp
66,67,190,317,25.0, ABarpappa
67,68,215,326,24.0, ABarpaapp
68,69,215,294,26.0, ABarpaapa
69,70,208,255,26.0, ABarpaaaa
70,71,217,272,25.0, ABarpaaap
71,72,256,344,24.0, ABarppaap
72,73,242,318,26.0, ABarppaaa
73,74,288,378,23.0, ABarppapp
74,75,273,357,25.0, ABarppapa
75,76,202,366,25.0, ABarpppap
76,77,206,344,26.0, ABarpppaa
77,78,214,383,24.0, ABarppppa
78,79,166,254,20.0, ABalaappa
79,80,167,272,22.0, ABalaappp
80,81,167,242,16.0, ABalaapaa
81,82,161,257,16.0, ABalaapap
82,83,209,217,20.0, ABalaaaal
83,84,190,221,17.0, ABalaaaar
84,85,188,223,20.0, ABalaaapa
85,86,174,238,21.0, ABalaaapp
86,87,191,300,22.0, ABalapppp
87,88,197,279,27.0, ABarpapaa
88,89,189,272,23.0, ABalapppa
89,90,251,278,22.0, ABalapapp
90,91,233,254,23.0, ABalapapa
91,92,184,256,23.0, ABalappap
92,93,193,239,23.0, ABalappaa
93,94,213,232,23.0, ABalapaaa
94,95,230,243,21.0, ABalapaap
95,96,282,279,21.0, ABalppppp
96,97,266,258,21.0, ABalppppa
97,98,244,240,18.0, ABalpppaa
98,99,263,247,18.0, ABalpppap
99,100,258,238,14.0, ABalppaap
100,101,245,226,16.0, ABalppaaa
101,102,263,274,11.0, ABalppapp
102,103,259,255,12.0, ABalppapa
103,104,233,243,14.0, ABalpaapp
104,105,198,234,11.0, ABalpaaaa
